symbol,instrument_type,average_quantity,liquidity_rank_overall,liquidity_rank_within_type,top_8_liquid_stock_flag,lot_quantity_1lot,reference_futures_price_inr,one_lot_notional_inr,reference_capital_required_1lot_nrml_margin_inr,nrml_margin_rate_pct,calculated_margin_to_notional_pct,capital_rank_lowest_margin_within_type,expiry_date_1,expiry_date_2,expiry_date_3,reference_contract_expiry,margin_price_snapshot_date,margin_price_source,margin_price_source_url,lot_size_source,lot_size_source_url,capital_note
KOTAKBANK,STOCK,16315739.13,11,11,NO,2000,427.10,854200.00,151197.00,17.70,17.70,24,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
UNIONBANK,STOCK,15126381.52,12,12,NO,4425,188.79,835395.75,180972.00,21.66,21.66,34,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ITC,STOCK,15075825.00,13,13,NO,1725,265.45,457901.25,81110.00,17.71,17.71,1,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
RELIANCE,STOCK,14005391.30,14,14,NO,500,1335.60,667800.00,117818.00,17.64,17.64,17,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BANKBARODA,STOCK,13763142.39,15,15,NO,2925,240.74,704164.50,132344.00,18.79,18.79,19,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
IREDA,STOCK,13208671.74,16,16,NO,4525,112.33,508293.25,157083.00,30.90,30.90,27,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
IOC,STOCK,13200864.13,17,17,NO,4875,138.09,673188.75,120184.00,17.85,17.85,18,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
SBIN,STOCK,12665673.91,18,18,NO,750,1024.00,768000.00,135772.00,17.68,17.68,21,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
LICI,STOCK,12532434.78,19,19,NO,1400,419.10,586740.00,137677.00,23.46,23.46,22,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BHEL,STOCK,12424353.26,20,20,NO,2625,435.70,1143712.50,269402.00,23.56,23.56,45,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BANDHANBNK,STOCK,11530173.91,21,21,NO,3600,165.20,594720.00,242467.00,40.77,40.77,43,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BEL,STOCK,11267227.17,22,22,NO,1425,409.00,582825.00,104844.00,17.99,17.99,12,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BANKINDIA,STOCK,11133200.00,23,23,NO,5200,145.34,755768.00,160351.00,21.22,21.22,28,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
MANAPPURAM,STOCK,10676347.83,24,24,NO,3000,341.40,1024200.00,380457.00,37.15,37.15,50,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
NTPC,STOCK,10247217.39,25,25,NO,1500,334.00,501000.00,88800.00,17.72,17.72,4,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
GAIL,STOCK,9934597.83,26,26,NO,3550,174.45,619297.50,112768.00,18.21,18.21,16,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
INFY,STOCK,9788313.04,27,27,NO,400,1138.10,455240.00,87317.00,19.18,19.18,3,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
VEDL,STOCK,9762800.00,28,28,NO,1150,274.50,315675.00,110098.00,34.88,34.88,14,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
INDUSTOWER,STOCK,9637078.26,29,29,NO,1700,378.40,643280.00,217181.00,33.76,33.76,40,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ICICIBANK,STOCK,9586834.78,30,30,NO,700,1434.10,1003870.00,177480.00,17.68,17.68,32,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
FEDERALBNK,STOCK,9390543.48,31,31,NO,2500,344.35,860875.00,152655.00,17.73,17.73,25,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
KALYANKJIL,STOCK,9152647.83,32,32,NO,1350,599.20,808920.00,239033.00,29.55,29.55,42,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
NATIONALUM,STOCK,8884157.61,33,33,NO,1875,377.30,707437.50,184604.00,26.09,26.09,36,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ONGC,STOCK,8784684.78,34,34,NO,2250,235.13,529042.50,93958.00,17.76,17.76,7,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
PFC,STOCK,8675804.35,35,35,NO,1300,358.50,466050.00,96456.00,20.70,20.70,10,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
CROMPTON,STOCK,8638793.48,36,36,NO,2150,233.57,502175.50,174000.00,34.65,34.65,30,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
COALINDIA,STOCK,8329147.83,37,37,NO,1350,415.90,561465.00,99773.00,17.77,17.77,11,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
LTF,STOCK,8112228.26,38,38,NO,2250,315.70,710325.00,154056.00,21.69,21.69,26,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ANGELONE,STOCK,8045760.87,39,39,NO,2500,300.30,750750.00,198926.00,26.50,26.50,39,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
POWERGRID,STOCK,7892104.35,40,40,NO,1900,267.10,507490.00,89981.00,17.73,17.73,5,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
AXISBANK,STOCK,7483423.91,41,41,NO,625,1278.80,799250.00,141655.00,17.72,17.72,23,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
HINDZINC,STOCK,7213705.43,42,42,NO,1225,602.45,738001.25,180890.00,24.51,24.51,33,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BIOCON,STOCK,7137065.22,43,43,NO,2500,399.35,998375.00,184593.00,18.49,18.49,35,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
NYKAA,STOCK,7027717.39,44,44,NO,3125,333.60,1042500.00,196206.00,18.82,18.82,38,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
HINDALCO,STOCK,6991204.35,45,45,NO,700,1020.50,714350.00,135140.00,18.92,18.92,20,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
TATAPOWER,STOCK,6910258.70,46,46,NO,1450,368.55,534397.50,94944.00,17.77,17.77,9,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
AMBUJACEM,STOCK,6893947.83,47,47,NO,1200,407.35,488820.00,165767.00,33.91,33.91,29,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
RBLBANK,STOCK,6872632.61,48,48,NO,3175,415.50,1319212.50,284043.00,21.53,21.53,46,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
VBL,STOCK,6507101.09,49,49,NO,1275,410.20,523005.00,105260.00,20.13,20.13,13,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ABCAPITAL,STOCK,6427647.83,50,50,NO,3100,407.30,1262630.00,267733.00,21.20,21.20,44,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
NIFTY,INDEX,2681185.00,51,1,NO,65,24048.10,1563126.50,176810.00,11.31,11.31,1,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
BANKNIFTY,INDEX,499721.74,52,2,NO,30,57774.80,1733244.00,195930.00,11.30,11.30,3,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
FINNIFTY,INDEX,10200.00,53,3,NO,60,26237.80,1574268.00,177942.00,11.30,11.30,2,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
